x,y,z,qx,qy,qz,qw,speed
89630.1,43130.7,0,0,0,0.890874,0.454251,8.33333
89628.3,43133.1,0,0,0,0.887679,0.460463,8.33333
89626.6,43135.5,0,0,0,0.886576,0.462583,8.33333
89624.9,43138,0,0,0,0.886618,0.462503,8.33333
89623.2,43140.4,0,0,0,0.886023,0.463642,8.33333
89621.5,43142.9,0,0,0,0.88584,0.46399,8.33333
89619.8,43145.3,0,0,0,0.884065,0.467363,8.33333
89618.1,43147.8,0,0,0,0.881734,0.471747,8.33333
89616.4,43150.3,0,0,0,0.874733,0.484605,8.33333
89614.9,43152.8,0,0,0,0.852035,0.523484,8.33333
89613.5,43155.5,0,0,0,0.798825,0.601564,8.33333
89612.7,43158.3,0,0,0,0.702854,0.711334,8.33333
89612.7,43161.3,0,0,0,0.568884,0.822418,8.33333
89613.8,43164.1,0,0,0,0.332024,0.943271,8.33333
89616,43165.9,0,0,0,0.0957612,0.995404,8.33333
89619,43166.5,0,0,0,-0.171466,0.98519,8.33333
89621.7,43165.5,0,0,0,-0.372298,0.928113,8.33333
89623.9,43163.4,0,0,0,-0.433472,0.901167,8.33333
89625.7,43161.1,0,0,0,-0.50772,0.861522,8.33333
89627.2,43158.5,0,0,0,-0.535709,0.844403,8.33333
89628.5,43155.8,0,0,0,-0.557544,0.830147,8.33333
89629.6,43153,0,0,0,-0.569087,0.822278,8.33333
89630.6,43150.2,0,0,0,-0.477121,0.878837,8.33333
89632.3,43147.8,0,0,0,-0.5511,0.834439,8.33333
89633.2,43145.5,0,0,0,-0.518683,0.854967,8.33333
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.3,43140.9,0,0,0,-0.306848,0.951759,8.33333
89637.8,43137.6,0,0,0,-0.475437,0.87975,8.33333
89640.3,43133.8,0,0,0,-0.346564,0.938026,8.33333
89644.9,43129.8,0,0,0,0.350125,0.936703,8.33333
89649.3,43131.9,0,0,0,0.675274,0.737567,8.33333
89649.8,43137.4,0,0,0,0.741942,0.670464,8.33333
89649.4,43140.9,0,0,0,0.84158,0.540133,8.33333
89648,43144,0,0,0,0.838252,0.545282,8.33333
89646.3,43147.8,0,0,0,0.879473,0.475948,8.33333
89644.7,43150.3,0,0,0,0.858429,0.512933,8.33333
89643.2,43153.1,0,0,0,0.909974,0.414665,8.33333
89641.4,43155.1,0,0,0,0.931912,0.362684,8.33333
89639.5,43156.9,0,0,0,0.899436,0.437053,8.33333
89637.6,43159.2,0,0,0,0.904818,0.425798,8.33333
89635.7,43161.5,0,0,0,0.909045,0.416698,8.33333
89633.8,43163.8,0,0,0,0.911257,0.411839,8.33333
89631.8,43166,0,0,0,0.906128,0.423003,8.33333
89629.9,43168.3,0,0,0,0.896159,0.443734,8.33333
89628.1,43170.7,0,0,0,0.910751,0.412956,8.33333
89626.2,43172.9,0,0,0,0.926643,0.375943,8.33333
89623.9,43175,0,0,0,0.914781,0.40395,8.33333
89621.6,43177,0,0,0,0.814524,0.580131,8.33333
89620.6,43179.8,0,0,0,0.728822,0.684703,8.33333
89620.5,43182.8,0,0,0,0.563098,0.82639,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
